Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Inner,Melbourne CBD,B Property and deception offences,B40 Theft,6062
Metro Inner,Melbourne CBD,E Justice procedures offences,E20 Breaches of orders,2202
Other,Dandenong,B Property and deception offences,B40 Theft,1913
Metro Inner,Melbourne CBD,A Crimes against the person,A20 Assault and related offences,1816
Metro Inner North,Preston,B Property and deception offences,B40 Theft,1767
Other,Frankston,B Property and deception offences,B40 Theft,1608
Other,Frankston,E Justice procedures offences,E20 Breaches of orders,1472
Other,Mildura,B Property and deception offences,B40 Theft,1460
Metro Inner North,Reservoir,B Property and deception offences,B40 Theft,1423
Metro Inner,Southbank,B Property and deception offences,B40 Theft,1256
Metro Outer West,Werribee,B Property and deception offences,B40 Theft,1250
Metro Inner,Richmond,B Property and deception offences,B40 Theft,1234
Metro Inner,Carlton,B Property and deception offences,B40 Theft,1216
Other,Dandenong,E Justice procedures offences,E20 Breaches of orders,1194
Metro Inner West,Footscray,B Property and deception offences,B40 Theft,1191
Metro Inner North,Brunswick,B Property and deception offences,B40 Theft,1176
Metro Inner,St Kilda,B Property and deception offences,B40 Theft,1111
Metro Inner,Melbourne CBD,B Property and deception offences,B20 Property damage,1076
Other,Springvale,B Property and deception offences,B40 Theft,1073
Metro Inner,Melbourne CBD,B Property and deception offences,B50 Deception,1058
Metro Inner,Fitzroy,B Property and deception offences,B40 Theft,1054
Metro Inner,South Yarra,B Property and deception offences,B40 Theft,1050
Metro Outer North,Craigieburn,B Property and deception offences,B40 Theft,1005
Metro Outer West,Tarneit,B Property and deception offences,B40 Theft,999
Metro Outer South,Pakenham,B Property and deception offences,B40 Theft,997
Metro Outer South,Narre Warren,B Property and deception offences,B40 Theft,979
Metro Outer West,Hoppers Crossing,B Property and deception offences,B40 Theft,973
Metro Outer North,Epping,B Property and deception offences,B40 Theft,973
Other,Shepparton,E Justice procedures offences,E20 Breaches of orders,958
Metro Inner,South Melbourne CBD,B Property and deception offences,B40 Theft,958
Metro Inner West,St Albans,B Property and deception offences,B40 Theft,956
Other,Morwell,E Justice procedures offences,E20 Breaches of orders,954
Metro Inner East,Malvern East,B Property and deception offences,B40 Theft,934
Metro Inner,Port Melbourne CBD,B Property and deception offences,B40 Theft,924
Metro Inner,Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,897
Metro Inner East,Clayton,B Property and deception offences,B40 Theft,882
Metro Inner West,Maribyrnong,B Property and deception offences,B40 Theft,863
Metro Inner North,Coburg,B Property and deception offences,B40 Theft,857
Metro Inner,Docklands,B Property and deception offences,B40 Theft,845
Metro Outer South,Cranbourne,B Property and deception offences,B40 Theft,825
Other,Mildura,E Justice procedures offences,E20 Breaches of orders,819
Metro Outer South,Cheltenham,B Property and deception offences,B40 Theft,819
Metro Outer South,Berwick,B Property and deception offences,B40 Theft,796
Metro Outer West,Truganina,B Property and deception offences,B40 Theft,789
