Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Melbourne,3000,Melbourne,B Property and deception offences,B40 Theft,5353,8477,58.35979824397535,3124
Greater Dandenong,3175,Dandenong,B Property and deception offences,B40 Theft,1913,2865,49.764767381076844,952
Darebin,3072,Preston,B Property and deception offences,B40 Theft,1767,3006,70.1188455008489,1239
Melbourne,3000,Melbourne,E Justice procedures offences,E20 Breaches of orders,1652,1089,-34.07990314769975,-563
Frankston,3199,Frankston,B Property and deception offences,B40 Theft,1608,2457,52.79850746268657,849
Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,1575,1813,15.11111111111112,238
Frankston,3199,Frankston,E Justice procedures offences,E20 Breaches of orders,1472,1370,-6.929347826086952,-102
Mildura,3500,Mildura,B Property and deception offences,B40 Theft,1460,1730,18.493150684931514,270
Darebin,3073,Reservoir,B Property and deception offences,B40 Theft,1423,2172,52.63527758257203,749
Wyndham,3030,Werribee,B Property and deception offences,B40 Theft,1250,1793,43.43999999999999,543
Yarra,3121,Richmond,B Property and deception offences,B40 Theft,1234,1987,61.02106969205834,753
Melbourne,3053,Carlton,B Property and deception offences,B40 Theft,1209,1645,36.06286186931349,436
Greater Dandenong,3175,Dandenong,E Justice procedures offences,E20 Breaches of orders,1194,1152,-3.5175879396984966,-42
Maribyrnong,3011,Footscray,B Property and deception offences,B40 Theft,1191,1624,36.35600335852225,433
Merri-bek,3056,Brunswick,B Property and deception offences,B40 Theft,1176,1333,13.350340136054427,157
Melbourne,3006,Southbank,B Property and deception offences,B40 Theft,1169,1532,31.05218135158254,363
Melbourne,3006,Southbank,B Property and deception offences,B40 Theft,1169,224,-80.83832335329342,-945
Port Phillip,3182,St Kilda,B Property and deception offences,B40 Theft,1111,1503,35.28352835283528,392
Greater Dandenong,3171,Springvale,B Property and deception offences,B40 Theft,1073,1230,14.6318732525629,157
Yarra,3065,Fitzroy,B Property and deception offences,B40 Theft,1054,1375,30.45540796963946,321
Hume,3064,Craigieburn,B Property and deception offences,B40 Theft,1005,1364,35.721393034825866,359
Wyndham,3029,Tarneit,B Property and deception offences,B40 Theft,999,1684,68.56856856856857,685
Cardinia,3810,Pakenham,B Property and deception offences,B40 Theft,997,1551,55.56670010030089,554
Casey,3805,Narre Warren,B Property and deception offences,B40 Theft,979,1311,33.912155260469866,332
Whittlesea,3076,Epping,B Property and deception offences,B40 Theft,973,1632,67.72867420349435,659
Wyndham,3029,Hoppers Crossing,B Property and deception offences,B40 Theft,973,1494,53.54573484069887,521
Port Phillip,3205,South Melbourne,B Property and deception offences,B40 Theft,958,1181,23.27766179540709,223
Greater Shepparton,3630,Shepparton,E Justice procedures offences,E20 Breaches of orders,958,1052,9.812108559498967,94
Brimbank,3021,St Albans,B Property and deception offences,B40 Theft,956,1104,15.481171548117146,148
Latrobe,3840,Morwell,E Justice procedures offences,E20 Breaches of orders,954,816,-14.465408805031444,-138
Stonnington,3141,South Yarra,B Property and deception offences,B40 Theft,939,1248,32.907348242811494,309
Stonnington,3141,South Yarra,B Property and deception offences,B40 Theft,939,137,-85.41001064962727,-802
Stonnington,3145,Malvern East,B Property and deception offences,B40 Theft,934,1286,37.68736616702355,352
Melbourne,3000,Melbourne,B Property and deception offences,B20 Property damage,931,1240,33.19011815252417,309
Monash,3168,Clayton,B Property and deception offences,B40 Theft,882,1127,27.777777777777768,245
Maribyrnong,3032,Maribyrnong,B Property and deception offences,B40 Theft,863,922,6.836616454229438,59
Merri-bek,3058,Coburg,B Property and deception offences,B40 Theft,857,1142,33.25554259043173,285
Melbourne,3008,Docklands,B Property and deception offences,B40 Theft,845,1310,55.02958579881656,465
Port Phillip,3207,Port Melbourne,B Property and deception offences,B40 Theft,826,1087,31.598062953995164,261
Port Phillip,3207,Port Melbourne,B Property and deception offences,B40 Theft,826,159,-80.75060532687651,-667
Casey,3977,Cranbourne,B Property and deception offences,B40 Theft,825,1111,34.66666666666667,286
Mildura,3500,Mildura,E Justice procedures offences,E20 Breaches of orders,819,791,-3.4188034188034178,-28
Casey,3806,Berwick,B Property and deception offences,B40 Theft,796,997,25.25125628140703,201
Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,793,1033,30.26481715006306,240
Greater Shepparton,3630,Shepparton,B Property and deception offences,B40 Theft,787,1239,57.43329097839898,452
Greater Dandenong,3174,Noble Park,B Property and deception offences,B40 Theft,782,853,9.079283887468037,71
Maroondah,3134,Ringwood,B Property and deception offences,B40 Theft,781,1384,77.20870678617158,603
Brimbank,3020,Sunshine,B Property and deception offences,B40 Theft,780,792,1.538461538461533,12
Brimbank,3020,Sunshine,E Justice procedures offences,E20 Breaches of orders,774,598,-22.7390180878553,-176
Wyndham,3030,Werribee,E Justice procedures offences,E20 Breaches of orders,762,509,-33.202099737532805,-253
Melbourne,3000,Melbourne,B Property and deception offences,B50 Deception,760,677,-10.921052631578942,-83
