Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Metro Inner,Melbourne CBD,B Property and deception offences,B40 Theft,6062,9306,53.51369185087429,3244
Metro Inner,Melbourne CBD,E Justice procedures offences,E20 Breaches of orders,2202,1478,-32.87920072661217,-724
Other,Dandenong,B Property and deception offences,B40 Theft,1913,2865,49.764767381076844,952
Metro Inner,Melbourne CBD,A Crimes against the person,A20 Assault and related offences,1816,2105,15.91409691629957,289
Metro Inner North,Preston,B Property and deception offences,B40 Theft,1767,3006,70.1188455008489,1239
Other,Frankston,B Property and deception offences,B40 Theft,1608,2457,52.79850746268657,849
Other,Frankston,E Justice procedures offences,E20 Breaches of orders,1472,1370,-6.929347826086952,-102
Other,Mildura,B Property and deception offences,B40 Theft,1460,1730,18.493150684931514,270
Metro Inner North,Reservoir,B Property and deception offences,B40 Theft,1423,2172,52.63527758257203,749
Metro Inner,Southbank,B Property and deception offences,B40 Theft,1256,1756,39.80891719745223,500
Metro Outer West,Werribee,B Property and deception offences,B40 Theft,1250,1793,43.43999999999999,543
Metro Inner,Richmond,B Property and deception offences,B40 Theft,1234,1987,61.02106969205834,753
Metro Inner,Carlton,B Property and deception offences,B40 Theft,1216,1674,37.664473684210535,458
Other,Dandenong,E Justice procedures offences,E20 Breaches of orders,1194,1152,-3.5175879396984966,-42
Metro Inner West,Footscray,B Property and deception offences,B40 Theft,1191,1624,36.35600335852225,433
Metro Inner North,Brunswick,B Property and deception offences,B40 Theft,1176,1333,13.350340136054427,157
Metro Inner,St Kilda,B Property and deception offences,B40 Theft,1111,1503,35.28352835283528,392
Metro Inner,Melbourne CBD,B Property and deception offences,B20 Property damage,1076,1362,26.579925650557623,286
Other,Springvale,B Property and deception offences,B40 Theft,1073,1230,14.6318732525629,157
Metro Inner,Melbourne CBD,B Property and deception offences,B50 Deception,1058,957,-9.546313799621931,-101
Metro Inner,Fitzroy,B Property and deception offences,B40 Theft,1054,1375,30.45540796963946,321
Metro Inner,South Yarra,B Property and deception offences,B40 Theft,1050,1385,31.9047619047619,335
Metro Outer North,Craigieburn,B Property and deception offences,B40 Theft,1005,1364,35.721393034825866,359
Metro Outer West,Tarneit,B Property and deception offences,B40 Theft,999,1684,68.56856856856857,685
Metro Outer South,Pakenham,B Property and deception offences,B40 Theft,997,1551,55.56670010030089,554
Metro Outer South,Narre Warren,B Property and deception offences,B40 Theft,979,1311,33.912155260469866,332
Metro Outer West,Hoppers Crossing,B Property and deception offences,B40 Theft,973,1494,53.54573484069887,521
Metro Outer North,Epping,B Property and deception offences,B40 Theft,973,1632,67.72867420349435,659
Other,Shepparton,E Justice procedures offences,E20 Breaches of orders,958,1052,9.812108559498967,94
Metro Inner,South Melbourne CBD,B Property and deception offences,B40 Theft,958,1181,23.27766179540709,223
Metro Inner West,St Albans,B Property and deception offences,B40 Theft,956,1105,15.585774058577396,149
Other,Morwell,E Justice procedures offences,E20 Breaches of orders,954,816,-14.465408805031444,-138
Metro Inner East,Malvern East,B Property and deception offences,B40 Theft,934,1286,37.68736616702355,352
Metro Inner,Port Melbourne CBD,B Property and deception offences,B40 Theft,924,1246,34.84848484848484,322
Metro Inner,Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,897,1182,31.77257525083612,285
Metro Inner East,Clayton,B Property and deception offences,B40 Theft,882,1127,27.777777777777768,245
Metro Inner West,Maribyrnong,B Property and deception offences,B40 Theft,863,922,6.836616454229438,59
Metro Inner North,Coburg,B Property and deception offences,B40 Theft,857,1142,33.25554259043173,285
Metro Inner,Docklands,B Property and deception offences,B40 Theft,845,1310,55.02958579881656,465
Metro Outer South,Cranbourne,B Property and deception offences,B40 Theft,825,1111,34.66666666666667,286
Other,Mildura,E Justice procedures offences,E20 Breaches of orders,819,791,-3.4188034188034178,-28
Metro Outer South,Cheltenham,B Property and deception offences,B40 Theft,819,1084,32.356532356532355,265
Metro Outer South,Berwick,B Property and deception offences,B40 Theft,796,997,25.25125628140703,201
Metro Outer West,Truganina,B Property and deception offences,B40 Theft,789,1225,55.259822560202785,436
Other,Shepparton,B Property and deception offences,B40 Theft,787,1239,57.43329097839898,452
Other,Noble Park,B Property and deception offences,B40 Theft,782,853,9.079283887468037,71
Metro Inner East,Ringwood,B Property and deception offences,B40 Theft,781,1384,77.20870678617158,603
Metro Inner West,Sunshine,B Property and deception offences,B40 Theft,780,792,1.538461538461533,12
Metro Inner West,Sunshine,E Justice procedures offences,E20 Breaches of orders,774,598,-22.7390180878553,-176
Metro Inner North,Bundoora,B Property and deception offences,B40 Theft,773,1289,66.7529107373868,516
Metro Outer West,Werribee,E Justice procedures offences,E20 Breaches of orders,762,509,-33.202099737532805,-253
Metro Inner East,Ringwood,E Justice procedures offences,E20 Breaches of orders,750,477,-36.4,-273
Metro Inner East,Prahran,B Property and deception offences,B40 Theft,744,1156,55.376344086021504,412
Metro Inner,Collingwood,B Property and deception offences,B40 Theft,733,1013,38.19918144611187,280
Metro Inner,North Melbourne CBD,B Property and deception offences,B40 Theft,730,970,32.87671232876712,240
Other,Morwell,B Property and deception offences,B40 Theft,701,954,36.09129814550642,253
