Suburb/Town Name,Region,Local Government Area,Postcode
Abbotsford,Metro Inner,Yarra,3067
Albert Park,Metro Inner,Port Phillip,3206
Balaclava,Metro Inner,Port Phillip,3183
Burnley,Metro Inner,Yarra,3121
Carlton,Metro Inner,Melbourne,3053
Carlton North,Metro Inner,Yarra,3054
Clifton Hill,Metro Inner,Yarra,3068
Collingwood,Metro Inner,Yarra,3066
Cremorne,Metro Inner,Yarra,3121
Docklands,Metro Inner,Melbourne,3008
East Melbourne,Metro Inner,Melbourne,3002
Elwood,Metro Inner,Port Phillip,3184
Fairfield,Metro Inner,Yarra,3078
Fitzroy,Metro Inner,Yarra,3065
Fitzroy North,Metro Inner,Yarra,3068
Flemington,Metro Inner,Melbourne,3031
Melbourne,Metro Inner,Melbourne,3000
Middle Park,Metro Inner,Port Phillip,3206
North Melbourne,Metro Inner,Melbourne,3051
Parkville,Metro Inner,Melbourne,3052
Port Melbourne,Metro Inner,Port Phillip,3207
Princes Hill,Metro Inner,Yarra,3054
Richmond,Metro Inner,Yarra,3121
Ripponlea,Metro Inner,Port Phillip,3185
South Melbourne,Metro Inner,Port Phillip,3205
South Wharf,Metro Inner,Melbourne,3006
South Yarra,Metro Inner,Melbourne,3141
Southbank,Metro Inner,Port Phillip,3006
St Kilda,Metro Inner,Port Phillip,3182
St Kilda East,Metro Inner,Port Phillip,3183
St Kilda West,Metro Inner,Port Phillip,3182
West Melbourne,Metro Inner,Melbourne,3003
Windsor,Metro Inner,Port Phillip,3181
Armadale,Metro Inner East,Stonnington,3143
Ashburton,Metro Inner East,Boroondara,3147
Ashwood,Metro Inner East,Monash,3147
Balwyn,Metro Inner East,Boroondara,3103
Balwyn North,Metro Inner East,Boroondara,3104
Bayswater,Metro Inner East,Knox,3153
Bayswater North,Metro Inner East,Maroondah,3153
Blackburn,Metro Inner East,Whitehorse,3130
Blackburn North,Metro Inner East,Whitehorse,3130
Blackburn South,Metro Inner East,Whitehorse,3130
Boronia,Metro Inner East,Knox,3155
Box Hill,Metro Inner East,Whitehorse,3128
Box Hill North,Metro Inner East,Whitehorse,3129
Box Hill South,Metro Inner East,Whitehorse,3128
Bulleen,Metro Inner East,Manningham,3105
Burwood,Metro Inner East,Monash,3125
Burwood East,Metro Inner East,Whitehorse,3151
Camberwell,Metro Inner East,Boroondara,3124
Canterbury,Metro Inner East,Boroondara,3126
Chadstone,Metro Inner East,Monash,3148
Clayton,Metro Inner East,Monash,3168
Croydon,Metro Inner East,Maroondah,3136
Croydon North,Metro Inner East,Maroondah,3136
Croydon South,Metro Inner East,Maroondah,3136
Deepdene,Metro Inner East,Boroondara,3103
Doncaster,Metro Inner East,Manningham,3108
Doncaster East,Metro Inner East,Manningham,3109
Donvale,Metro Inner East,Manningham,3111
Ferntree Gully,Metro Inner East,Knox,3156
Forest Hill,Metro Inner East,Whitehorse,3131
Glen Iris,Metro Inner East,Stonnington,3146
Glen Waverley,Metro Inner East,Monash,3150
Hawthorn,Metro Inner East,Boroondara,3122
Hawthorn East,Metro Inner East,Boroondara,3123
Heathmont,Metro Inner East,Maroondah,3135
Hughesdale,Metro Inner East,Monash,3166
Huntingdale,Metro Inner East,Monash,3166
Kew,Metro Inner East,Boroondara,3101
Kew East,Metro Inner East,Boroondara,3102
Knoxfield,Metro Inner East,Knox,3180
Kooyong,Metro Inner East,Stonnington,3144
Malvern,Metro Inner East,Stonnington,3144
Malvern East,Metro Inner East,Stonnington,3145
Mitcham,Metro Inner East,Whitehorse,3132
Mont Albert,Metro Inner East,Whitehorse,3127
Mont Albert North,Metro Inner East,Whitehorse,3129
Mount Waverley,Metro Inner East,Monash,3149
Mulgrave,Metro Inner East,Monash,3170
Notting Hill,Metro Inner East,Monash,3168
Nunawading,Metro Inner East,Whitehorse,3131
Oakleigh,Metro Inner East,Monash,3166
Oakleigh East,Metro Inner East,Monash,3166
Oakleigh South,Metro Inner East,Monash,3167
