Suburb/Town Name,Region,Local Government Area,Postcode
Abbotsford,Metro Inner,Yarra,3067
Aberfeldie,,,
Aintree,Metro Outer West,Melton,3336
Airport West,Metro Inner West,Moonee Valley,3042
Albanvale,,,
Albert Park,Metro Inner,Port Phillip,3206
Albion,Metro Inner West,Brimbank,3020
Alexandra,,,
Alfredton,Other,Ballarat,3350
Alphington,Metro Inner North,Yarra,3078
Altona,Metro Inner West,Hobsons Bay,3018
Altona Meadows,Metro Inner West,Hobsons Bay,3028
Altona North,Metro Inner West,Hobsons Bay,3025
Anglesea,Other,Surf Coast,3230
Apollo Bay,,,
Ararat,Other,Ararat,3377
Ardeer,,,
Armadale,Metro Inner East,Stonnington,3143
Armstrong Creek,Other,Greater Geelong,3217
Ascot Vale,Metro Inner West,Moonee Valley,3032
Ashburton,Metro Inner East,Boroondara,3147
Ashwood,Metro Inner East,Monash,3147
Aspendale,Metro Outer South,Kingston,3195
Aspendale Gardens,Metro Outer South,Kingston,3195
Avenel,Other,Strathbogie,3664
Avoca,Other,Pyrenees,3467
Avondale Heights,,,
Bacchus Marsh,Other,Moorabool,3340
Bairnsdale,Other,East Gippsland,3875
Bakery Hill,Other,Ballarat,3350
Balaclava,Metro Inner,Port Phillip,3183
Ballan,Other,Moorabool,3342
Ballarat Central,Other,Ballarat,3350
Ballarat East,Other,Ballarat,3350
Ballarat North,,,
Balwyn,Metro Inner East,Boroondara,3103
Balwyn North,Metro Inner East,Boroondara,3104
Barjarg,Other,Mansfield,3723
Bannockburn,,,
Barwon Heads,Other,Greater Geelong,3227
Baxter,Metro Outer South,Mornington Peninsula,3911
Bayswater,Metro Inner East,Knox,3153
Bayswater North,Metro Inner East,Maroondah,3153
Beaconsfield,Metro Outer South,Cardinia,3807
Beaufort,,,
Beaumaris,Metro Inner South,Bayside,3193
Belgrave Heights,Metro Outer East,Yarra Ranges,3160
Beechworth,,,
Belgrave,,,
Bell Park,Other,Greater Geelong,3215
Bell Post Hill,Other,Greater Geelong,3215
Bellfield,Metro Inner North,Banyule,3081
Belmont,Other,Greater Geelong,3216
Benalla,Other,Benalla,3672
Bendigo,Other,Greater Bendigo,3550
Bentleigh,Metro Inner South,Glen Eira,3204
Bentleigh East,Metro Inner South,Glen Eira,3165
Berwick,Metro Outer South,Casey,3806
Beveridge,Other,Mitchell,3753
Bittern,,,
Black Hill,Other,Ballarat,3350
Black Rock,Metro Inner South,Bayside,3193
Blackburn,Metro Inner East,Whitehorse,3130
Blackburn North,Metro Inner East,Whitehorse,3130
Blackburn South,Metro Inner East,Whitehorse,3130
Blairgowrie,,,
Bonbeach,Metro Outer South,Kingston,3196
Bonnie Brook,Metro Outer West,Melton,3335
Boronia,Metro Inner East,Knox,3155
Botanic Ridge,,,
Box Hill,Metro Inner East,Whitehorse,3128
Box Hill North,Metro Inner East,Whitehorse,3129
Box Hill South,Metro Inner East,Whitehorse,3128
Braeside,,,
Braybrook,Metro Inner West,Maribyrnong,3019
Breakwater,Other,Greater Geelong,3219
Briagolong,Other,Wellington,3860
Bright,Other,Alpine,3741
Brighton,Metro Inner South,Bayside,3186
Brighton East,Metro Inner South,Bayside,3187
Broadford,Other,Mitchell,3658
Broadmeadows,Metro Outer North,Hume,3047
Brookfield,Metro Outer West,Melton,3338
Brooklyn,,,
Brown Hill,,,
Brunswick,Metro Inner North,Merri-bek,3056
Brunswick East,Metro Inner North,Merri-bek,3057
Brunswick West,Metro Inner North,Merri-bek,3055
Bruthen,Other,East Gippsland,3885
Bulleen,Metro Inner East,Manningham,3105
Bundoora,Metro Inner North,Banyule,3083
Bunyip North,Metro Outer South,Cardinia,3815
Buninyong,,,
Burnley,Metro Inner,Yarra,3121
Burnside,,,
Burnside Heights,Metro Outer West,Melton,3023
Burwood,Metro Inner East,Monash,3125
